Date,Title and Day Published,Days Since Published,Daily Views,Daily Likes,Daily Comments
1/26/23,I Survived 50 Hours In Antarctica - (2022-12-24),32,524693,12125,925
1/26/23,Hydraulic Press Vs Lamborghini - (2022-12-10),46,619506,9675,150
1/26/23,Would You Fly To Paris For A Baguette? - (2022-12-08),48,3299844,77810,109
1/26/23,"100 Kids Vs 100 Adults For $500,000 - (2022-12-03)",53,447116,5102,48
1/26/23,Gordon Ramsay Tries Most Expensive Chocolate Bar! - (2022-11-19),67,640030,27605,59
1/26/23,"Last To Take Hand Off Jet, Keeps It! - (2022-11-12)",74,204300,3482,38
1/26/23,Giving iPhones Instead Of Candy on Halloween - (2022-11-02),84,2099034,42207,156
1/26/23,"$1 vs $1,000,000 Hotel Room! - (2022-10-22)",95,1156967,8103,87
1/26/23,"The Rock Vs MrBeast For $100,000 - (2022-10-21)",96,275452,9767,36
1/26/23,"Survive 100 Days In Circle, Win $500,000 - (2022-09-24)",123,490501,4988,37
1/26/23,I Hunted 100 People! - (2022-09-03),144,128361,1809,4
1/26/23,I Survived A Plane Crash - (2022-08-20),158,128089,1763,16
1/26/23,"I Gave My 100,000,000th Subscriber An Island - (2022-08-04)",174,203868,4263,16
1/26/23,"100 Girls Vs 100 Boys For $500,000 - (2022-07-23)",186,159835,1849,9
1/26/23,I Didn’t Eat Food For 30 Days - (2022-07-02),207,92374,2408,35
1/26/23,I Built Willy Wonka's Chocolate Factory! - (2022-06-04),235,278517,2786,19
1/26/23,"$10,000 Every Day You Survive Prison - (2022-04-09)",291,261098,3391,-14
1/26/23,"Would You Swim With Sharks For $100,000? - (2022-03-19)",312,168834,2275,-10
1/26/23,World’s Most Dangerous Escape Room! - (2022-01-29),361,228476,2643,2
1/26/23,"Extreme $1,000,000 Hide And Seek - (2021-12-18)",403,64528,891,-74
1/26/23,"$1,000,000 Influencer Tournament! - (2021-12-16)",405,282790,649,-6
1/26/23,I Got Hunted By The Military - (2021-12-10),411,259787,2660,3
1/26/23,"$456,000 Squid Game In Real Life! - (2021-11-24)",427,1181755,6149,48
1/26/23,I Cleaned The World’s Dirtiest Beach #TeamSeas - (2021-10-29),453,178922,1602,4
1/26/23,"Last To Take Hand Off Lamborghini, Keeps It - (2021-10-23)",459,151163,2116,2
1/26/23,"First To Rob Bank Wins $100,000 - (2021-09-26)",486,173705,2665,15
1/26/23,"Extreme $500,000 Game Of Tag! - (2021-09-04)",508,377059,2698,6
1/26/23,"Last To Leave Circle Wins $500,000 - (2021-08-31)",512,385130,4174,23
1/26/23,I Got Hunted By The FBI - (2021-08-07),536,199871,3029,6
1/26/23,"If You Can Carry $1,000,000 You Keep It! - (2021-07-24)",550,177703,2080,26
1/26/23,"Would YOU Quit School For $100,000? - (2021-07-10)",564,137832,1859,-4
1/26/23,I Survived 50 Hours In A Maximum Security Prison - (2021-06-26),578,189003,2443,9
1/26/23,"Hit The Target, Win $300,000 - (2021-06-12)",592,91935,1349,1
1/26/23,Anything You Can Fit In The Triangle I’ll Pay For - (2021-06-01),603,477977,1982,-23
1/26/23,I Got Hunted By A Real Bounty Hunter - (2021-04-24),641,200519,2286,24
1/26/23,"Extreme $100,000 Game of Tag! - (2021-04-17)",648,270630,2895,16
1/26/23,"Would You Sit In Snakes For $10,000? - (2021-04-10)",655,730900,3447,13
1/26/23,"I Bought The World's Largest Mystery Box! ($500,000) - (2021-04-03)",662,198329,3176,28
1/26/23,I Spent 50 Hours Buried Alive - (2021-03-27),669,228422,4299,17
1/26/23,"Offering People $100,000 To Quit Their Job - (2021-03-13)",683,48566,513,4
1/26/23,I Sold My House For $1 - (2021-03-06),690,109264,1630,-1
1/26/23,"If You Press This, I’ll Pay... - (2021-02-13)",711,17863,898,-3
1/26/23,"I Ate $100,000 Golden Ice Cream - (2021-01-22)",733,557606,4278,41
1/26/23,I Bought Everything In 5 Stores - (2021-01-09),746,135315,2810,11
1/26/23,"Youtube Rewind 2020, Thank God It's Over - (2021-01-01)",754,17601,421,-2
1/26/23,"I Put 1,000,000,000 Christmas Lights On A House (World Record) - (2020-12-23)",763,87706,849,0
1/26/23,I Opened A Restaurant That Pays You To Eat At It - (2020-12-19),767,148631,2972,90
1/26/23,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It! - (2020-12-15)",771,271025,2470,3
1/26/23,"Steal This $100,000 Diamond, You Keep It - (2020-11-28)",788,195833,1822,-28
1/26/23,"Press This Button To Win $100,000! - (2020-11-14)",802,200857,2492,-14
1/26/23,I Survived 24 Hours Straight In Ice - (2020-10-29),818,122335,1978,9
1/26/23,I Uber’d People And Let Them Keep The Car - (2020-10-24),823,96744,2156,158
1/26/23,"$300,000 Influencer Trivia Tournament! - (2020-10-17)",830,14707,199,1
1/26/23,I Filled My Brother’s House With Slime & Bought Him A New One - (2020-10-10),837,666543,2516,18
1/26/23,Hi Me In 5 Years - (2020-10-04),843,108376,4026,44
1/26/23,"Would You Rather Have A Giant Diamond or $100,000? - (2020-09-26)",851,282092,349,-3
1/26/23,"I Gave My 40,000,000th Subscriber 40 Cars - (2020-09-19)",858,37978,473,-2
1/26/23,Why I Haven’t Been Uploading - (2020-09-17),860,58847,1391,-2
1/26/23,"Get This Random Person 1,000,000 Subscribers - (2020-09-05)",872,79662,1648,3
1/26/23,Would YOU Rather Have A Lamborghini or This House? - (2020-08-22),886,57496,401,5
1/26/23,"Last To Leave $800,000 Island Keeps It - (2020-08-15)",893,505534,3111,-9
1/26/23,I Bought A Private Island - (2020-08-13),895,438925,1644,2
1/26/23,"I Spent $1,000,000 On Lottery Tickets and WON - (2020-08-08)",900,82391,1310,2
1/26/23,I Ate The World’s Largest Slice Of Pizza - (2020-08-01),907,182778,2232,21
1/26/23,I Adopted EVERY Dog In A Dog Shelter - (2020-07-23),916,457295,2541,22
1/26/23,"I Bought The World's Largest Firework ($600,000) - (2020-07-03)",936,166083,2072,22
1/26/23,I Broke Into A House - (2020-06-25),944,85706,1295,-12
1/26/23,"Would You Rather Have $100,000 OR This Mystery Key? - (2020-06-13)",956,210143,508,0
1/26/23,I Built The World's Largest Lego Tower - (2020-06-06),963,455616,2542,9
1/26/23,I Spent 50 Hours In Solitary Confinement - (2020-05-30),970,968858,3525,32
1/26/23,If You Click This Video I'll Give My Friend .001$ - (2020-05-23),977,143119,4865,37
1/26/23,"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus) - (2020-05-07)",993,19088,162,-1
1/26/23,Videos I Could Not Upload... - (2020-04-30),1000,122902,2127,-1
1/26/23,"$250,000 Influencer Rock, Paper, Scissors Tournament - (2020-04-25)",1005,11498,98,4
1/26/23,I Spent 24 Hours In A Doomsday Bunker - (2020-04-11),1019,175166,2124,6
1/26/23,"Giving $1,000,000 Of Food To People In Need - (2020-03-27)",1034,52012,1198,12
1/26/23,I Ran A Marathon In The World's Largest Shoes - (2020-03-21),1040,114761,2271,12
1/26/23,"$70,000 Extreme Hide And Seek - Challenge - (2020-03-13)",1048,149110,1935,14
1/26/23,Anything You Can Fit In The Circle I’ll Pay For - (2020-03-07),1054,230564,2905,16
1/26/23,"I Ate A $70,000 Golden Pizza - (2020-02-29)",1061,340221,2362,13
1/26/23,"Lamborghini Race, Winner Keeps Lamborghini - (2020-02-08)",1082,120283,1564,5
1/26/23,I Gave My Credit Card To Random People - (2020-02-01),1089,209616,1583,0
1/26/23,I Went Back To Boy Scouts For A Day - (2020-01-25),1096,89989,1384,-2
1/26/23,"$60,000 Extreme Hide And Seek - Challenge - (2020-01-17)",1104,171820,1817,10
1/26/23,"How I Gained 15,000,000 Subscribers In 1 Year - (2020-01-03)",1118,4824,89,-4
1/26/23,Important Youtube Announcement (please watch) - (2019-12-28),1124,6402,89,-17
1/26/23,"Giving 10,000 Presents To Kids For Christmas - (2019-12-23)",1129,23154,265,5
1/26/23,"Spending $1,000,000 In 24 Hours - (2019-12-21)",1131,176456,2183,6
1/26/23,"Last To Take Hand Off $1,000,000 Keeps It - (2019-12-19)",1133,103330,1464,9
1/26/23,"Last To Stop Riding Bike Wins $1,000,000 (Part 4) - (2019-12-14)",1138,40217,689,5
1/26/23,"Last To Leave Toilet Wins $1,000,000 (Part 3) - (2019-12-07)",1145,138823,1186,10
1/26/23,I Ordered Pizza And Tipped The House - (2019-12-05),1147,94853,2118,-2
1/26/23,"Last to Stop Swinging Wins $1,000,000 (Part 2) - (2019-11-30)",1152,82352,1198,9
1/26/23,"$50,000 Game Of Extreme Hide And Seek - Challenge - (2019-11-28)",1154,143227,2079,9
1/26/23,I Opened A FREE BANK - (2019-11-23),1159,63353,1073,8
1/26/23,"Going Around A Ferris Wheel 1,000 Times Straight - (2019-11-16)",1166,66021,1231,10
1/26/23,"Last To Fall Wins $1,000,000 (Part 1) - (2019-11-14)",1168,122684,1780,8
1/26/23,Surviving 24 Hours Straight In The Bermuda Triangle - (2019-11-09),1173,164156,2532,10
1/26/23,"I Spent $100,000 On Lottery Tickets And Won! - (2019-10-31)",1182,9637,153,-1
1/26/23,"Planting 20,000,000 Trees, My Biggest Project Ever! - (2019-10-25)",1188,109924,903,-4
1/26/23,"Last To Take Hand Off Boat, Keeps It - (2019-10-19)",1194,77581,1024,-3
1/26/23,"I Searched 100 Dumpsters, Here's What I Found - (2019-10-12)",1201,216744,2023,2
1/26/23,"Going Through The Same Drive Thru 1,000 Times - (2019-10-05)",1208,456967,3001,6
1/26/23,"Donating $100,000 To Random Streamers - (2019-09-28)",1215,35825,911,4
1/26/23,Surviving 24 Hours Straight In A Rain Forest - (2019-09-21),1222,102091,1728,-13
1/26/23,"Last To Leave Ramen Noodle Pool Wins $20,000 - (2019-09-13)",1230,60336,1176,7
1/26/23,"Anything You Can Carry, I'll Pay For #2 - (2019-09-06)",1237,30130,588,3
1/26/23,"I Gave My Brother 24 Hours To Spend $100,000 - (2019-08-31)",1243,128434,1609,9
1/26/23,I Opened A Free Car Dealership - (2019-08-29),1245,149454,1314,8
1/26/23,"Last To Leave Pool Of $20,000 Keeps It - (2019-08-24)",1250,139845,2005,4
1/26/23,Surviving 24 Hours On A Deserted Island - (2019-08-22),1252,131665,1961,16
1/26/23,"Last To Leave Roller Coaster Wins $20,000 - Challenge - (2019-08-17)",1257,123079,1839,4
1/26/23,I Won Every Prize At A Theme Park - (2019-08-15),1259,150851,2052,3
1/26/23,Destroying My Friend's Car And Surprising Him With A New One - (2019-08-10),1264,71719,1476,6
1/26/23,I Spent 24 Hours Straight At Area 51 - (2019-08-02),1272,127247,2329,4
1/26/23,"Can 50,000 Magnets Catch A Cannon Ball? - (2019-07-20)",1285,131016,1535,22
1/26/23,World's Largest Game Of Dodgeball - (2019-07-12),1293,46700,659,-3
1/26/23,"Last To Leave Revolving Door Wins $50,000 - (2019-07-02)",1303,90238,1546,5
1/26/23,Tipping Waitresses With Real Gold Bars - (2019-06-21),1314,45614,1058,9
1/26/23,I Opened The World's First FREE Store - (2019-06-15),1320,51673,992,8
1/26/23,Spending 24 Hours On Top Of A Mountain - (2019-06-13),1322,129646,1982,11
1/26/23,"Last To Leave VR Wins $20,000 - (2019-06-08)",1327,110692,1994,5
1/26/23,"Last To Stop Running Wins $20,000 - (2019-06-06)",1329,14508,179,3
1/26/23,"Paying People $10,000 To Eat Ghost Pepper - (2019-06-01)",1334,6623,112,-2
