Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
I Survived 50 Hours In Antarctica - (2022-12-24),I Survived 50 Hours In Antarctica,2022-12-24,2022-12-24 15:59:59,31,83519557,2694179.3,3634461,0.04351628685003681,140664,0.0016842043355186857,730,12.167
Hydraulic Press Vs Lamborghini - (2022-12-10),Hydraulic Press Vs Lamborghini,2022-12-10,2022-12-10 16:00:01,45,99134076,2202979.5,4164613,0.0420099038397251,122717,0.0012378891794986822,625,10.417
Would You Fly To Paris For A Baguette? - (2022-12-08),Would You Fly To Paris For A Baguette?,2022-12-08,2022-12-08 15:12:27,47,487285664,10367780.1,26390813,0.05415881268364177,55849,0.00011461244219981814,48,0.8
"100 Kids Vs 100 Adults For $500,000 - (2022-12-03)","100 Kids Vs 100 Adults For $500,000",2022-12-03,2022-12-03 16:00:00,52,102601302,1973102.0,3056554,0.029790596614456218,91054,0.0008874546250884808,923,15.383
Gordon Ramsay Tries Most Expensive Chocolate Bar! - (2022-11-19),Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19,2022-11-19 15:59:59,66,114309720,1731965.5,7990936,0.06990600624338858,19393,0.000169653114363328,41,0.683
"Last To Take Hand Off Jet, Keeps It! - (2022-11-12)","Last To Take Hand Off Jet, Keeps It!",2022-11-12,2022-11-12 16:00:00,73,86860298,1189867.1,3255201,0.03747628174151556,104108,0.0011985683033231133,937,15.617
Giving iPhones Instead Of Candy on Halloween - (2022-11-02),Giving iPhones Instead Of Candy on Halloween,2022-11-02,2022-11-02 16:00:01,83,412667639,4971899.3,17633146,0.04272965537770215,71699,0.00017374514796882342,40,0.667
"$1 vs $1,000,000 Hotel Room! - (2022-10-22)","$1 vs $1,000,000 Hotel Room!",2022-10-22,2022-10-22 16:00:00,94,144057272,1532524.2,4793955,0.03327811871933824,108428,0.000752672867496755,941,15.683
"The Rock Vs MrBeast For $100,000 - (2022-10-21)","The Rock Vs MrBeast For $100,000",2022-10-21,2022-10-21 15:00:06,95,209837564,2208816.5,15997938,0.07623962885882529,47227,0.00022506456470301,55,0.917
"Survive 100 Days In Circle, Win $500,000 - (2022-09-24)","Survive 100 Days In Circle, Win $500,000",2022-09-24,2022-09-24 14:59:59,122,121651500,997143.4,3700999,0.030422962314480297,88659,0.0007287949593716477,1077,17.95
I Hunted 100 People! - (2022-09-03),I Hunted 100 People!,2022-09-03,2022-09-03 14:59:59,143,71834787,502341.2,2567524,0.03574207020339602,65405,0.0009104920155188878,743,12.383
I Survived A Plane Crash - (2022-08-20),I Survived A Plane Crash,2022-08-20,2022-08-20 15:00:00,157,84995323,541371.5,2954162,0.03475675949840205,76909,0.0009048615533821785,494,8.233
"I Gave My 100,000,000th Subscriber An Island - (2022-08-04)","I Gave My 100,000,000th Subscriber An Island",2022-08-04,2022-08-04 14:59:59,173,107891451,623650.0,4742561,0.043956782080908335,233572,0.002164879588096373,931,15.517
"100 Girls Vs 100 Boys For $500,000 - (2022-07-23)","100 Girls Vs 100 Boys For $500,000",2022-07-23,2022-07-23 15:00:09,185,117352807,634339.5,3667205,0.031249401644052707,141350,0.001204487592699849,1013,16.883
I Didn’t Eat Food For 30 Days - (2022-07-02),I Didn’t Eat Food For 30 Days,2022-07-02,2022-07-02 15:00:02,206,67411095,327238.3,2974042,0.04411798977601536,104707,0.001553260631651214,784,13.067
I Built Willy Wonka's Chocolate Factory! - (2022-06-04),I Built Willy Wonka's Chocolate Factory!,2022-06-04,2022-06-04 15:00:02,234,154139958,658717.8,5236476,0.033972216341203364,173526,0.0011257690883761627,1021,17.017
"$10,000 Every Day You Survive Prison - (2022-04-09)","$10,000 Every Day You Survive Prison",2022-04-09,2022-04-09 15:00:00,290,138387808,477199.3,4341116,0.03136920847824976,152466,0.0011017300021111686,839,13.983
"Would You Swim With Sharks For $100,000? - (2022-03-19)","Would You Swim With Sharks For $100,000?",2022-03-19,2022-03-19 15:02:32,311,114824669,369211.2,3407698,0.029677403206796963,101509,0.0008840347713085939,541,9.017
World’s Most Dangerous Escape Room! - (2022-01-29),World’s Most Dangerous Escape Room!,2022-01-29,2022-01-29 16:00:01,360,166769506,463248.6,4576739,0.027443500372304273,143903,0.0008628855685403301,481,8.017
"Extreme $1,000,000 Hide And Seek - (2021-12-18)","Extreme $1,000,000 Hide And Seek",2021-12-18,2021-12-18 16:00:00,402,81967283,203898.7,3377465,0.04120503786858471,132354,0.0016147174232919248,729,12.15
"$1,000,000 Influencer Tournament! - (2021-12-16)","$1,000,000 Influencer Tournament!",2021-12-16,2021-12-16 16:00:00,404,64847380,160513.3,2919885,0.045027031161474836,90931,0.0014022308996909359,725,12.083
I Got Hunted By The Military - (2021-12-10),I Got Hunted By The Military,2021-12-10,2021-12-10 16:30:02,410,125985172,307280.9,3683638,0.02923866310235303,98138,0.0007789646864156363,662,11.033
"$456,000 Squid Game In Real Life! - (2021-11-24)","$456,000 Squid Game In Real Life!",2021-11-24,2021-11-24 16:00:01,426,346380471,813099.7,15292630,0.04414980427692761,614844,0.0017750538828732061,1542,25.7
I Cleaned The World’s Dirtiest Beach #TeamSeas - (2021-10-29),I Cleaned The World’s Dirtiest Beach #TeamSeas,2021-10-29,2021-10-29 14:59:43,452,83623336,185007.4,5000262,0.05979505529413464,179189,0.0021428109493263937,295,4.917
"Last To Take Hand Off Lamborghini, Keeps It - (2021-10-23)","Last To Take Hand Off Lamborghini, Keeps It",2021-10-23,2021-10-23 15:00:01,458,125069073,273076.6,4025054,0.032182648383425695,131337,0.0010501157228534027,943,15.717
