Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"If You Build It, I'll Pay For It! - (2022-12-31)","If You Build It, I'll Pay For It!",2022-12-31,2022-12-31 15:00:04,22,18146054,824820.6,630292,0.03473438357452259,20443,0.001126581018661137,702,11.7
World's Hardest Challenge! - (2022-12-16),World's Hardest Challenge!,2022-12-16,2022-12-16 17:18:00,37,18062082,488164.4,544227,0.030130911818471426,22989,0.0012727768592790134,870,14.5
100 Youtuber Minecraft Battle Royale! - (2022-10-28),100 Youtuber Minecraft Battle Royale!,2022-10-28,2022-10-28 16:00:09,86,17863184,207711.4,997377,0.05583422305900225,45853,0.0025668996075951522,963,16.05
"Extreme $1,000,000 Challenge! - (2022-10-12)","Extreme $1,000,000 Challenge!",2022-10-12,2022-10-12 15:00:12,102,10322050,101196.6,397507,0.03851047030386406,11501,0.0011142166526998027,643,10.717
Minecraft with Ultra Realistic Graphics! - (2022-09-16),Minecraft with Ultra Realistic Graphics!,2022-09-16,2022-09-16 14:00:37,128,15699108,122649.3,501991,0.03197576575688249,13048,0.0008311300234382743,527,8.783
Extreme Squid Game Challenge! - (2022-08-26),Extreme Squid Game Challenge!,2022-08-26,2022-08-26 13:00:55,149,12894605,86541.0,497370,0.0385719453988703,17316,0.0013428871997242257,530,8.833
World's Fastest Car! - (2022-07-09),World's Fastest Car!,2022-07-09,2022-07-09 11:00:01,197,32717613,166079.3,659690,0.020163145764943182,20493,0.0006263598753368713,578,9.633
"100 Kills = $500,000 Challenge! - (2022-06-29)","100 Kills = $500,000 Challenge!",2022-06-29,2022-06-29 12:30:08,207,11367071,54913.4,390104,0.034318779217619035,16866,0.0014837595366475674,533,8.883
1000 People Simulate Civilization! - (2022-06-07),1000 People Simulate Civilization!,2022-06-07,2022-06-07 13:00:26,229,18739231,81830.7,645905,0.03446806328392024,19622,0.0010471080696961364,484,8.067
World's Largest Experiment! - (2022-05-22),World's Largest Experiment!,2022-05-22,2022-05-22 13:00:05,245,34039608,138937.2,673417,0.01978333593030801,20092,0.0005902535657872441,629,10.483
"Insane $100,000 Challenge! - (2022-04-24)","Insane $100,000 Challenge!",2022-04-24,2022-04-24 12:00:22,273,20740214,75971.5,672831,0.03244088995417309,22315,0.0010759291104710878,586,9.767
"$1 VS $29,000 House! - (2022-03-23)","$1 VS $29,000 House!",2022-03-23,2022-03-23 13:00:00,305,30524863,100081.5,911671,0.029866505870968202,30333,0.0009937145336246062,542,9.033
"1,000 Tanks Vs Titan Enderman! - (2022-03-05)","1,000 Tanks Vs Titan Enderman!",2022-03-05,2022-03-05 14:00:10,323,55692458,172422.5,1103114,0.01980724212244322,53003,0.0009517087574048177,657,10.95
World's Largest Challenge! - (2022-01-28),World's Largest Challenge!,2022-01-28,2022-01-28 14:00:24,359,34822540,96998.7,891608,0.025604335582642735,25819,0.0007414450525435537,586,9.767
10 vs 1000 Player Manhunt! - (2021-12-23),10 vs 1000 Player Manhunt!,2021-12-23,2021-12-23 14:01:08,395,26389344,66808.5,847466,0.032113947205356826,28308,0.0010727057103048867,674,11.233
