Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"If You Build It, I'll Pay For It! - (2022-12-31)","If You Build It, I'll Pay For It!",2022-12-31,2022-12-31 15:00:04,11,15687070,1426097.3,588399,0.03750853409846453,19478,0.0012416595323409662,702,11.7
World's Hardest Challenge! - (2022-12-16),World's Hardest Challenge!,2022-12-16,2022-12-16 17:18:00,26,17389618,668831.5,537037,0.030882622033445474,22832,0.001312967311875396,870,14.5
100 Youtuber Minecraft Battle Royale! - (2022-10-28),100 Youtuber Minecraft Battle Royale!,2022-10-28,2022-10-28 16:00:09,75,17501871,233358.3,989063,0.056511843790872415,45756,0.002614349060166196,963,16.05
"Extreme $1,000,000 Challenge! - (2022-10-12)","Extreme $1,000,000 Challenge!",2022-10-12,2022-10-12 15:00:12,91,10040597,110336.2,393672,0.03920802717208947,11485,0.0011438562866331553,643,10.716666666666667
Minecraft with Ultra Realistic Graphics! - (2022-09-16),Minecraft with Ultra Realistic Graphics!,2022-09-16,2022-09-16 14:00:37,117,14697558,125620.2,485063,0.03300296552665415,12969,0.0008823914829932972,527,8.783333333333333
Extreme Squid Game Challenge! - (2022-08-26),Extreme Squid Game Challenge!,2022-08-26,2022-08-26 13:00:55,138,12723772,92201.2,494827,0.0388899612473408,17336,0.001362489048059019,530,8.833333333333334
World's Fastest Car! - (2022-07-09),World's Fastest Car!,2022-07-09,2022-07-09 11:00:01,186,32293973,173623.5,656328,0.02032354458214231,20581,0.0006373015794619015,578,9.633333333333333
"100 Kills = $500,000 Challenge! - (2022-06-29)","100 Kills = $500,000 Challenge!",2022-06-29,2022-06-29 12:30:08,196,11257406,57435.7,389050,0.03455947133824613,16888,0.001500167978306903,533,8.883333333333333
1000 People Simulate Civilization! - (2022-06-07),1000 People Simulate Civilization!,2022-06-07,2022-06-07 13:00:26,218,18538226,85037.7,642962,0.034683038172045155,19676,0.001061374481031788,484,8.066666666666666
World's Largest Experiment! - (2022-05-22),World's Largest Experiment!,2022-05-22,2022-05-22 13:00:05,234,33384155,142667.3,667706,0.02000068595415999,20052,0.0006006442277781181,629,10.483333333333333
"Insane $100,000 Challenge! - (2022-04-24)","Insane $100,000 Challenge!",2022-04-24,2022-04-24 12:00:22,262,20579934,78549.4,670930,0.032601173550896714,22361,0.0010865438149607282,586,9.766666666666667
"$1 VS $29,000 House! - (2022-03-23)","$1 VS $29,000 House!",2022-03-23,2022-03-23 13:00:00,294,30280655,102995.4,908513,0.030003082826312706,30380,0.0010032808074990451,542,9.033333333333333
"1,000 Tanks Vs Titan Enderman! - (2022-03-05)","1,000 Tanks Vs Titan Enderman!",2022-03-05,2022-03-05 14:00:10,312,55163796,176807.0,1097800,0.019900733444812246,52990,0.0009605937923488804,657,10.95
World's Largest Challenge! - (2022-01-28),World's Largest Challenge!,2022-01-28,2022-01-28 14:00:24,348,34595565,99412.5,889305,0.025705751589835287,25857,0.0007474079408733461,586,9.766666666666667
10 vs 1000 Player Manhunt! - (2021-12-23),10 vs 1000 Player Manhunt!,2021-12-23,2021-12-23 14:01:08,384,26208430,68251.1,844670,0.03222894313013027,28318,0.0010804920401565451,674,11.233333333333333
GTA Wanted Level 100! - (2021-11-27),GTA Wanted Level 100!,2021-11-27,2021-11-27 16:00:10,410,40780735,99465.2,895838,0.021967186221631366,20861,0.0005115405595313571,481,8.016666666666667
"100,000 Player Building Challenge! - (2021-11-07)","100,000 Player Building Challenge!",2021-11-07,2021-11-07 14:00:12,430,36376868,84597.4,955252,0.026259874819349483,39008,0.0010723298113515436,520,8.666666666666666
Blowing Up Earth! - (2021-10-21),Blowing Up Earth!,2021-10-21,2021-10-21 13:01:55,447,55501439,124164.3,1032442,0.01860207624526636,29119,0.0005246530634998491,500,8.333333333333334
"$45,600 Squid Game Challenge! - (2021-10-14)","$45,600 Squid Game Challenge!",2021-10-14,2021-10-14 13:00:17,454,70602968,155513.1,1724321,0.02442278347278545,55941,0.000792332129720099,681,11.35
"First To Raid Island Wins $100,000! - (2021-10-05)","First To Raid Island Wins $100,000!",2021-10-05,2021-10-05 13:36:04,463,13518275,29197.1,509393,0.037681804816073056,17249,0.001275976409712038,496,8.266666666666667
Don't Open The Wrong Box! - (2021-09-29),Don't Open The Wrong Box!,2021-09-29,2021-09-29 13:15:31,469,32974495,70308.1,790151,0.02396248979703859,20915,0.0006342780988761162,650,10.833333333333334
1000 vs 1000 Player War! - (2021-09-11),1000 vs 1000 Player War!,2021-09-11,2021-09-11 13:03:40,487,31440102,64558.7,959493,0.0305181261816517,87447,0.002781384106196602,485,8.083333333333334
"100 People Decide Who Wins $30,000! - (2021-09-01)","100 People Decide Who Wins $30,000!",2021-09-01,2021-09-01 13:00:28,497,29538937,59434.5,775769,0.026262590288878708,21237,0.0007189493650363925,561,9.35
"$2 VS $16,000 Minecraft House! - (2021-08-25)","$2 VS $16,000 Minecraft House!",2021-08-25,2021-08-25 13:10:20,504,61265207,121558.0,1754730,0.02864154200931697,75108,0.0012259486856871307,644,10.733333333333333
World's Most Overpowered Weapons! - (2021-08-11),World's Most Overpowered Weapons!,2021-08-11,2021-08-11 14:34:46,518,26662579,51472.2,671215,0.02517442142412405,34333,0.0012876848859969623,594,9.9
$1000 For Every Kill! - (2021-07-25),$1000 For Every Kill!,2021-07-25,2021-07-25 16:21:05,535,19465926,36384.9,606859,0.031175449860438183,32345,0.0016616214404596011,519,8.65
I Survived 100 Days Of Hardcore Minecraft! - (2021-07-22),I Survived 100 Days Of Hardcore Minecraft!,2021-07-22,2021-07-22 14:46:51,538,77853993,144710.0,1315027,0.016890938400551916,78901,0.0010134483404081792,937,15.616666666666667
Walking Across The Entire Universe! - (2021-07-08),Walking Across The Entire Universe!,2021-07-08,2021-07-08 13:00:06,552,26702339,48373.8,735629,0.02754923454458428,29250,0.0010954096568094652,625,10.416666666666666
1 vs 100 Player Manhunt! - (2021-06-30),1 vs 100 Player Manhunt!,2021-06-30,2021-06-30 14:25:11,560,61689553,110159.9,1109804,0.01799014494399076,37441,0.0006069261030307677,763,12.716666666666667
World’s Largest Ramp! - (2021-06-11),World’s Largest Ramp!,2021-06-11,2021-06-11 14:27:22,579,51276774,88560.9,961807,0.0187571667437581,37494,0.0007312082464470171,562,9.366666666666667
I Gave Away My Credit Card! - (2021-06-04),I Gave Away My Credit Card!,2021-06-04,2021-06-04 13:10:09,586,25186343,42980.1,750750,0.02980782084957709,28258,0.0011219572448449542,483,8.05
"10,000 Zombies vs Mutant Wither! - (2021-05-22)","10,000 Zombies vs Mutant Wither!",2021-05-22,2021-05-22 13:38:56,599,64881064,108315.6,1142283,0.01760579943633477,37804,0.0005826661535636962,520,8.666666666666666
